name,label,en,ru,kg
Besh_barmak,Besh - Barmak,"The open palm, a timeless gesture of welcome and profound hospitality, embodying warmth, friendship, and a spirit of boundless generosity. It is the silent language of invitation, promising camaraderie and shared abundance in the heart of Kyrgyz tradition.","Раскрытая ладонь, открытость, доброжелательность, приветствие, гостеприимство, знак дружбы.","Ачык алакан – кең пейилдиктин, достуктун жана конокчулдуктун белгиси."
Eagle,Kanat,"The majestic wings, soaring high, symbolize the noble spirit and enduring strength of the clan. The falcon, a vigilant guardian from the heavens, watches over and protects, embodying lofty aspirations and fierce loyalty.",Крылья птицы означают возвышенность и силу рода. Птица жагалмай – защитница рода. Сокол – хранитель с высоты.,"Канат – уруулук бийиктиктин, эрктиң жана күчтүн символу."
Family,Family,"A perfect circle of unity, binding generations together with threads of warmth and unwavering support. It is the steadfast hearth, where ancestral wisdom meets future hopes, symbolizing unbreakable bonds and the enduring strength of kinship.","Символ круга, соединения. Отражает связь поколений, крепость семьи, поддержку и тепло домашнего очага.","Үй-бүлө – муундардын байланышы, үй очогунун бекемдиги жана мээрими."
Heart,Heart,"The pulse of profound sincerity, boundless love, and an unyielding inner strength. Often woven as the core of intricate designs, it speaks of deep emotions and the vital essence of being, a testament to truth and passion.","Знак искренности, любви и внутренней силы. Может быть изображен как центральная часть узора.","Жүрөк – чын ыкластан берилүү, сүйүү жана ички күчтүн белгиси."
Khan,Khan,"Embodied in symmetrical and resolute forms, it is the emblem of supreme authority, righteous justice, and unshakeable power. The Khan ornament resonates with decisive leadership and unwavering integrity, a beacon of governance.","Символ власти, справедливости и силы. Изображается в строгих, симметричных формах.","Хан – бийликтин, акыйкаттуулуктун жана эрктүүлүктүн белгиси."
Life_tree,Life - Tree,"A tree with roots and branches. Symbolizes generational continuity, fertility, and spiritual growth.","Дерево с корнями и ветвями. Символ связи поколений, плодородия и духовного роста.","Тиричилик дарагы – жашоонун уландысы, өсүү жана муундардын байланышы."
Man,Man,"Symbolizes strength, protection, and masculinity. Straight lines show determination and resilience.","Отражает силу, защиту и мужественность. Прямые линии – символ решимости и устойчивости.","Эркек – кайраттуулук, коргоочулук жана туруктуулуктун белгиси."
Mountains,Bychak - Uchu,A wish for high goals. The pattern resembles Ala-Too’s snowy peaks.,"Пожелание высоты, цели. Узор похож на снежные вершины Ала-Тоо.",Тоолор – бийиктикке умтулуу жана таза максаттардын белгиси.
Ram,Ram,"Ram’s horn-shaped spirals. Symbol of masculinity, fertility, and family power.","Завитки в виде рогов барана. Символ мужественности, плодородия и силы рода.","Кочкордун мүйүзү – күчтүн, эрдиктин жана тукум улуулугунун белгиси."
River,River,"Wavy line. Symbol of life, purification, and flow.","Волнообразная линия. Символ жизни, очищения и движения.","Дарыя – агым, тазалануу жана жашоонун нышаны."
Salbai,Salbai,"Wave-like defenders. Symbol of unity, protection, resilience—like a council of elders or shield.","Волны-защитники, сила, стойкость. Как щит или совет старейшин.","Салбай – ынтымактын, коргоонун жана туруктуулуктун белгиси."
Shield,Kerege Koz,Shield design with rhombuses showing full protection.,Калкан – щит. Ромбовая структура – защита с разных сторон.,"Кереге көз – төрт тарабы тең корголгон, коопсуздуктун белгиси."
Tekche,Tekche,Step-like pattern. Symbol of order and value preservation.,"Узор ступеней. Символ порядка, хранения ценностей.",Текче – тартиптүүлүктүн жана баалуулуктарды сактоонун белгиси.
Trilistnik,Trilistnik,"Nature’s harmony: sky, earth, water. Life balance of body, mind, and soul.","Гармония природы: небо, земля и вода. Баланс тела, разума и души.","Үч жалбырак – асман, жер жана суунун гармониясы, жашоонун биримдиги."
Trim,Trim,Border or edge. Symbol of completeness and protected inner space.,"Обрамление, завершенность. Граница, охраняющая внутреннее пространство.","Каптоо – бүтүндүктүн, коопсуздуктун жана чек аранын белгиси."
Unity,Unity,"All elements are connected. Symbol of harmony, strength, and unbreakable union.","Все элементы соединены. Символ согласия, силы и неразрывного союза.","Биримдик – ынтымактын, бекемдиктин жана бөлүнбөстүктүн белгиси."
Water,Water,"The dynamic flow of life itself, endlessly moving, purifying, and nurturing. It symbolizes abundance, fertility, and continuous transformation, reflecting the essential rhythms of existence and the deep wellspring of creation.","Волнообразный узор. Текучесть, очищение, жизнь.","Суу – жашоонун булагы, тазалык жана агымдуулуктун белгиси."
Wave,Wave,"Symbol of change, energy, and freedom. Echoes the rhythms of nature.","Символ перемен, энергии, свободы. Как ритмы природы.","Толкун – өзгөрүүнүн, энергиянын жана эркиндиктин символу."
Woman,Women,"Softness, care, fertility, motherhood. Curved forms reflect feminine energy.","Мягкость, забота, плодородие, материнство. Плавные формы, женская энергия.","Айым – назиктиктин, энелик мээримдин жана жашоону берүүчүнүн белгиси."
,,,,
Hornmotiv,Motif of Horns,"A primal, foundational motif derived from the majestic horns of mountain animals. Its characteristic spiral of two to three semicircles coils with ancient power, symbolizing immense strength, protective vigor, and continuous renewal. This versatile emblem, often seen on precious silver, anchors Kyrgyz art in its deep ancestral roots.",Горнмотив (Мотив Рогов),Мүйүз мотиви (Мүйүз оюму)
Heratimotiv,Herat Motif,"A distinct and historically significant motif, its name hinting at origins from ancient cultural crossroads. While its specific narrative remains a whisper, its established presence marks it as a key element in the intricate tapestry of Kyrgyz ornamentation, contributing a unique visual language to the broader artistic heritage.",Гератиммотив,Гератим мотиви
Spiral Motifs and Meander Motifs,Spiral & Meander Motifs,"Flowing lines that weave tales of perpetual motion and boundless continuity. Spirals evoke the journey of growth, cosmic cycles, and the unfolding of destiny. Meanders trace the paths of rivers and endless patterns, symbolizing life's flowing currents, intricate labyrinths of existence, and the eternal return.",Спиральные и меандровые мотивы,Спираль жана меандр оюмдары
'Tamga' Theory,'Tamga' Theory (V. Radlov's theory),"A compelling theory suggesting that some ornaments echo ancient tamgas – tribal seals of identity and lineage. If proven, these patterns would not merely adorn but speak a silent language of ownership, heritage, and the very fabric of nomadic society, weaving history into every thread and curve.",Теория 'Тамга' (В. Радлова),'Тамга' теориясы (В. Радловдун теориясы)
